Name;Schl;Descriptor;Level;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Short Description
Shadow Guardians;Illu;;5;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One illusory figure/level;1 hour/level;Will disbelief (if interacted with);Create group of shadowy warriors.
Shadow Hand;Illu;;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;5-ft. hand;1 round/level (D);None;Medium-sized hand attacks, blocks opponents, or carries items.
Shadow Mask;Illu;;2;1 standard action;Personal;Target;You;10 min./level (D);;Shadows hide your face and protect against darkness, light, and gazes.
Shadow Phase;Tran;;4;1 standard action;Touch;Target;Creature touched;1 round/level (D);Fortitude negates (harmless);Subject becomes semi-incorporeal.
Shadow Radiance;Illu;;2;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius burst centered on a point in space;1 round/level;Will disbelief (if interacted with);Area filled with intense light that grows brighter.
Shadow Trap;Conj;;7;10 minutes;Touch;Target;Object touched;1 hour/level (D);Reflex half;Bind a greater shadow to an object as its guardian.
Shadow Walk;Illu;;6;1 standard action;Touch;Targets;Up to one touched creature/ level;1 hour/level (D);Will negates;Step into shadow to travel rapidly.
Shadow Well;Illu;;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round/level;Will negates;Target enters gloomy pocket plane and emerges frightened.
Shadowfade;Illu;;5;1 standard action;Personal and touch;Target;You and up to one touched creature/level;1 min./level;Will negates;Travel to the Plane of Shadow, must return using the portal generated or else find another way back.
Shadowplay;Illu;;0;1 standard action;Touch;Target;Shadow of one Huge or smaller object or creature;Concentration;Will negates (harmless);Manipulates the shape and movement of an existing shadow.
Shalantha's Delicate Disk;Conj;;6;1 standard action;Touch;Effect;One disk;Permanent until discharged (D);See text;Conjures disk that can store a single spell of up to 5th level and release it when broken.
Shape Metal;Tran;;5;1 standard action;Touch;Target;Metal or metal object touched, up to 10 cu. ft. +1 cu. ft./level;Instantaneous;Fortitude negates;As stone shape, but affects metal.
Shapechange;Tran;;9;1 standard action;Personal;Target;You;10 min./level (D);;Transforms you into any creature, and change forms once per round.
Shard Storm;Evoc;Force;5;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One or more 20-foot radius bursts of force;1 round/level;Reflex half;Creates a storm of shards.
Shark Bolt;Conj;Water;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;1 to 4 shark-shaped bolts of water;1 round/level (D);None;Summons sharks made of water to attack your enemies.
Sharptooth;Tran;;4;1 standard action;Personal;Target;You;1 round/level;;One of your natural weapons deals damage as if you were one size larger.
Shatterfloor;Evoc;Sonic;3;1 standard action;Medium (100 ft. + 10 ft./level);Area;15-ft.-radius spread;Instantaneous;Will half;Deals 1d4 sonic/level plus damages floor surface 6 inches deep.
Shield;Abj;Force;1;1 standard action;Personal;Target;You;1 min./level (D);;Invisible disc gives +4 to AC, blocks magic missiles.
Shieldbearer;Tran;;1;1 standard action;Touch;Target;Shield touched;1 round/level;None;Shield floats near subject to offer protection.
Shifter Prowess;Tran;;1;1 swift action;Personal;Target;You;See text;;Shifter racial bonuses to skills increase by +8.
Shifting Paths;Illu;;8;10 minutes;Medium (100 ft. + 10 ft./level);Area;1-mile radius + 1 mile/level;1 day;Will disbelief (if interacted with);Illusion hides path, creates false new path.
Shivering Touch;Necr;Cold;3;1 standard action;Touch;Target;Creature touched;1 round/level;None;Touch deals 3d6 Dex damage.
Shock and Awe;Ench;Mind-Affecting;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;1 flat-footed creature/level, no two of which can be more than 30 ft. apart.;1 round;Will negates;Reduces a surprised creature's initiative roll.
Shock Treatment;Evoc;Electricity;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One ray;Instantaneous;Fortitude partial;A jolt of electricity damages and potentially stuns an opponent.
Shocking Grasp;Evoc;Electricity;1;1 standard action;Touch;Target;Creature or object touched;Instantaneous;None;Touch delivers 1d6/level electricity damage (max 5d6).
Shockwave;Evoc;Force;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;20-ft.-radius burst;Instantaneous;Fortitude partial;Shockwave deals 1d4/level points of nonlethal damage to creatures within area and dazes them for 1 round.
Shriveling;Necr;Evil;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;Instantaneous;Reflex half;Subject takes 1d4 damage per level.
Shroud of Undeath;Necr;Negative;2;1 standard action;Personal;Target;You;10 min./level (D);;Negative energy shroud makes undead perceive you as undead.
Silent Image;Illu;;1;1 standard action;Long (400 ft. + 40 ft./level);Effect;Visual figment that cannot extend beyond four 10-ft. cubes + one 10-ft. cube/level (S);Concentration;Will disbelief (if interacted with);Creates minor illusion of your design.
Silent Portal;Illu;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;Any single portal;1 hour/level (D);Will negates (object);Negates sound from door or window.
Silent Sound;Evoc;Sonic;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature or object;Instantaneous;None;Ranged attack roll deals 1d6/level (max 5d6) sonic damage.
Silvered Weapon;Tran;;0;1 standard action;Touch;Target;One weapon or projectile;1 round/level;None;Transforms a single weapon or projectile into a silvered weapon or silvered projectile
Simbul's Skeletal Deliquescence;Tran;;8;1 standard action;Touch;Target;Creature touched;1 day/level;Fortitude negates;Target becomes a soft-bodied oozelike creature.
Simulacrum;Illu;;7;12 hours;0 ft.;Effect;One duplicate creature;Instantaneous;None;Creates partially real double of a creature.
Sink;Tran;;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;One living creature;1 min./level (D);Fortitude negates;Subject loses buoyancy.
Sinsabur's Baleful Bolt;Necr;;4;1 standard action;Medium (100 ft. + 10 ft./level);Area;5 feet wide to medium range;Instantaneous;Reflex half;Bolt of dark energy deals 1d3 Str and Con damage +1/four levels.
Siphon;Tran;;3;1 minute;Touch;Target;One touched wand or staff;Instantaneous;None;Drain 5 or more charges from wand or staff to replace one or more cast spells.
Sirellyn's Superior Magnetism;Tran;;6;1 standard action;Medium (100 ft. + 10 ft./level);Target;One metallic creature or object;1 min./level (D);None;Attract metalic objects and creatures to target creature or object.
Siren's Call;Ench;Mind-Affecting;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature/2 levels, no two of which can be more than 30 ft. apart;1 round/level (D);Will negates;Compel one creature/2 levels to submerse itself.
Skeletal Guard;Necr;Evil;8;1 standard action;Touch;Target;One or more finger bones;Instantaneous;None;Creates one skeleton/level that is resistant to turning.
Skull Snare;Necr;;0;1 standard action;Touch;Target;Skull Touched;Instantaneous;None;Animates a skull that guards a 10 area.
Skull Watch;Necr;;3;1 standard action;Touch;Target;One humanoid skull;1 hour/level or until discharged;None;Skull shrieks when creature enters warded area.
Skyhurling;Tran;;6;1 standard action;Medium (100 ft. + 10 ft./level);Target;A Large or smaller creature;Instantaneous;Fortitude negates;Throw a creature up and let them take falling damage.  5-ft./level with yielding obstructions or 10-ft./level with no obstructions.
Skyrift;Illu;;9;1 hour;Touch;Area;One mile radius;Permanent;None;Make a 1 mile radius area appear to be in perpetual night or dusk.
Slash Tongue;Tran;Evil;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with a tongue;1 round;Fortitude negates;Subject takes -1 penalty on attacks, saves and checks for 1 round.
Slashing Dispel;Abj;;4;1 standard action;Medium (100 ft. + 10 ft./level);Target or Area;One creature or 20-ft.-radius burst;Instantaneous;None;As dispel magic, but creatures take damage for spells dispelled.
Sleep;Ench;Mind-Affecting;1;1 round;Medium (100 ft. + 10 ft./level);Area;One or more living creatures within a 10-ft.-radius burst;1 min./level;Will negates;Puts 4 HD of creatures into magical slumber.
Sleet Storm;Conj;Cold;3;1 standard action;Long (400 ft. + 40 ft./level);Area;Cylinder (40-ft. radius, 20 ft. high);1 round/level;None;Hampers vision and movement.
Slide;Tran;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;Will negates;Move subject 5 feet.
Slipping the Ranks;Tran;;2;1 standard action;Personal;Target;You;1 round/level;None;Every 5 ft. set becomes a 10 ft. teleport.
Slow;Tran;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One creature/level, no two of which can be more than 30 ft. apart;1 round/level;Will negates;One subject/level takes only one action/round, -2 to AC and attack rolls.
Slow Burn;Tran;Fire;1;1 standard action;Medium (100 ft. + 10 ft./level);Area;30-ft.-radius spread;Instantaneous;None;Dims and slows natural fire burn rates, doubling fire life and halving damage.
Slow Consumption;Necr;Evil;2;10 minutes;Touch;Target;One living creature;1 day;Fortitude negates;Caster absorbs health and sustenance from helpless subject.
Snake's Swiftness;Tran;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;Will negates (harmless);Subject immediately makes one attack.
Snare Astral Traveler;Abj;;6;1 standard action;Medium (100 ft. + 10 ft./level);Target;One astral creature;1 round/level;Will negates;Captures one astral creature and holds it motionless.
Snilloc's Snowball;Evoc;Cold;1;1 standard action;0 ft.;Effect;Orb of cold;1 round/level (D);None;Touch attack (melee or ranged) deals 1d6 cold damage +1/level.
Sniper's Shot;Div;;1;1 swift action;Personal;Target;You;1 round;;Swift. No range limit on next ranged sneak attack.
Snowball Swarm;Evoc;Cold;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;10-ft. radius burst;Instantaneous;Reflex half;Deals 1d6 cold/2 levels to a 10-ft. radius.
Snowdrift;Tran;;1;1 standard action;Touch;Target;Snow touched, up to 10 cu. ft. +1 cu. ft./level;Instantaneous;None;Forms existing snow into another shape.
Solid Fog;Conj;;4;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Fog spreads in 20-ft. radius, 20 ft. high;1 min./level;None;Blocks vision and slows movement.
Solipsism;Illu;Mind-Affecting;6;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;1 round/level (D);Will negates;Subject is convinced the world is fake.
Sonic Blast;Evoc;Sonic;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;5 ft. wide to close range (25 ft. + 5 ft./2 levels);Instantaneous;Reflex half;Deal 1d6/level damage (max 10d6) to each creature in the area.
Sonic Ray;Evoc;Sonic;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray of sound;Instantaneous;None;Ray deals 1d3 sonic damage.
Sonic Rumble;Evoc;Sonic;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;Cone;Concentration, up to 1 round/level;Reflex half;Cone of sound deals damage or moves objects.
Sonic Shield;Evoc;;5;1 standard action;Personal;Target;You;1 round/level;;+4 deflection bonus to AC
Sonic Slap;Evoc;Sonic;0;1 standard action;Touch;Target;Creature touched;Instantaneous;None;Touch attack deals 1d6 sonic damage.
Sonic Snap;Evoc;Sonic;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature or object;Instantaneous;Will partial;Target takes 1 point of sonic damage and is deafened 1 round.
Sonic Weapon;Tran;Sonic;2;1 standard action;Touch;Target;Weapon touched;1 min./level (D);None;Weapon touched deals +1d6 sonic damage with each hit.
Sonorous Hum;Evoc;Sonic;3;1 standard action;Personal;Target;You;1 min./level (D);;Removes need to concentrate to maintain next spell cast.
Soul Bind;Necr;Ectomancy;9;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;Corpse;Permanent;Will negates;Traps newly dead soul to prevent resurrection.
Soul Charge;Necr;Evil;3;10 minutes;Touch;Target;Creature touched;1 day or until discharged;Fortitude negates;Target gains one negetive level, and you can use a crystal to power a wand or staff instead of a charge.
Soul's Treasure Lost;Tran;;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;Fortitude negates (object);Disintegrates subject's most valuable object.
Sound Lance;Evoc;Sonic;3;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature or object;Instantaneous;Fortitude half;Sonic energy deals 1d8/level damage.
Spawn Screen;Necr;;2;1 standard action;Touch;Target;Living creature touched;1 hour/level;Will negates (harmless);You resist being transformed into an undead spawn if slain.
Speak To Allies;Tran;Language-Dependent;2;1 standard action;Medium (100 ft. + 10 ft./level);Targets;Any number of allied creatures, no two of which are more than 30 ft. apart;10 min./level;None;Subjects can converse at distance without moving lips.
Speaking Stones;Tran;;2;1 standard action;Touch;Target;Two normal objects touched, weighing up to 1 lb. each;1 day or until discharged;None;Pass a 25-word message between two magically linked stones.
Spectral Hand;Necr;;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One spectral hand;1 min./level (D);None;Creates disembodied glowing hand to deliver touch attacks.
Speed Swim;Tran;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 min./level (D);Will negates (harmless);Target gains swim speed 30.
Spell Enhancer;Tran;;4;1 swift action;Personal;Target;You;1 round;;Lets you cast another spell in the same round at +2 caster level.
Spell Flower;Tran;;1;1 standard action;Personal;Target;You;1 round/level;;Hold the charge on one touch spell per forelimb.
Spell Matrix;Tran;;7;1 standard action;Personal;Effect;Matrix that holds two of your spells;10 min./level (D);;Stores up to two spells of 3rd level or lower to be released later.
Spell Snare;Abj;;4;1 minute;Touch;Target;Eberron dragonshard touched;10 min./level;None (Object);Dragonshard absorbs a spell or spell-like ability of up to 3rd level.
Spell Theft;Abj;;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;None;Dispel spells on target and gain their benefit[lf][lf]for yourself.
Spell Turning;Abj;;7;1 standard action;Personal;Target;You;10 min./level or until expended;;Reflect 1d4+6 spell levels back at caster.
Spider Climb;Tran;;2;1 standard action;Touch;Target;Creature touched;10 min./level;Will negates (harmless);Grants ability to walk on walls and ceilings.
Spiderskin;Tran;;3;1 standard action;Touch;Target;Creature touched;10 min./level;Will negates (harmless);Subject gains increasing bonus to natural armor bonus, saves against poison, and Hide checks.
Spirit Worm;Necr;;1;1 standard action;Touch;Target;Living creature touched;1 round/level;Fortitude partial;Target takes 1 point of Con damage every round for 1 round/level.
Spiritwall;Necr;;5;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Wall whose area is up to one 10-ft. square/level or a sphere or hemisphere with a radius of up to 1 ft/level;1 min./level (D);None;Creates a wall of wailing spirits that inspires fear
Splinterbolt;Evoc;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One or more streams of splinters;Instantaneous;None;Ranged Attack that deals 4d6 piercing damage per bolt (3-6:1, 7-10: 2, 11+: 3). Threatens 18-20, x3.  +4 damage, cold iron in forest.
Spontaneous Search;Div;;1;1 round;Close (25 ft. + 5 ft./2 levels);Target;One 30-ft-cube;Instantaneous;Will negates or none (object);Searches a 30-foot cube area in 1 round.
Spore Cloak;Conj;;6;1 standard action;Personal;Target;You;1 min./level;;Cloud of dense yellow mold spores provides 20% concealment and other benefits.
Spymaster's Coin;Div;;2;1 standard action;Touch;Effect;Magical sensor;1 day;None;Hide a scrying sensor in a coin or other Tiny object for later activation.
Srinshee's Spell Shift;Abj;;9;1 standard action;Personal;Target;You;1 round/level (D);;Instead of countering another's spell, you can apply a metamagic feat to it, manipulate one of its properties, or stun the caster.
Stalking Spell;Illu;;8;1 standard action;Personal or touch;Target;You or creature touched;1 hour/level (D);Will negates (harmless);As greater invisibility, but subject is silent and scentless.
Stand;Conj;;1;1 immediate action;Close (25 ft. + 5 ft./2 levels);Target;One willing prone creature;Instantaneous;Will negates (harmless);Subject stands up from prone.
Starmantle;Abj;;6;1 standard action;Touch;Target;One living creature;1 min./level (D);None;Cloak of stars destroys nonmagical weapons on contact and allows wearer a DC 15 Reflex save to reduce damage from magic weapons by half.
Stars of Arvandor;Evoc;Force, Good;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;Up to one creature or object per round;1 min./level (D);None;Tiny starbursts each deal 1d8 damage (half nonlethal), or 1d8 letal damage to evil creatures.
Static Veil;Abj;;2;10 minutes;0 ft.;Area;One 10-ft. cube/level;1 hour/level;None;Scry DC increases by +1/level for targets within the area.
Statue;Tran;;7;1 round;Touch;Target;Creature touched;1 hour/level (D);Will negates (harmless);Subject can become a statue at will.
Stay the Hand;Ench;Mind-Affecting;2;1 immediate action;Medium (100 ft. + 10 ft./level);Target;1 humanoid;Instantaneous;Will negates;Change subject creature's attitude to helpful for 1 round.
Steal Life;Necr;Evil;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living humanoid;Concentration;Fortitude negates;You drain 1 ability score point per round and becomes younger.
Steal Size;Tran;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One humanoid creature larger than you;1 min./level (D);Fortitude negates;Humanoid creature doubles in size as targeted humanoid halves in size.
Steeldance;Evoc;;3;1 standard action;Touch;Target;Two daggers;1 round/level;None;Daggers become Medium flying animated objects that attack foes.
Stick;Tran;;0;1 standard action;Touch;Target;Nonmagical, unattended object weighting up to 5 lb.;Instantaneous;Will negates (object);Glues an object weighing 5 pounds or less to a larger object.
Sticks And Stones;Necr;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One Small pile of debris;1 round/level;None;Create stone and wood skeleton with energy drain attack to fight for you.
Sticky Floor;Conj;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;10-ft.-by-10-ft. square;1 hour/level;Reflex partial;Entangles and immobilizes creatures in affected area.
Sting Ray;Ench;Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;Will negates;Ray staggers enemies and disrupts spellcasters.
Stolen Breath;Necr;Air;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;One living creature that breathes air;Instantaneous;Fortitude negates;Subject has wind knocked out of it.
Stone Body;Tran;;6;1 standard action;Personal;Target;You;1 min./level (D);;Your body becomes living stone.
Stone Bones;Tran;;2;1 standard action;Touch;Target;Corporeal undead creature touched;10 min./level;Will negates (harmless);Corporeal undead gains +3 natural armor bonus.
Stone Metamorphosis;Tran;Earth;6;1 standard action;Touch;Target;Stone object touched, up to 10 cu. ft + 1cu. ft/level.;Instantaneous;None;Changes type of stone.
Stone Shape;Tran;Earth;4;1 standard action;Touch;Target;Stone or stone object touched, up to 10 cu. ft. + 1 cu. ft./level;Instantaneous;None;Sculpts stone into any shape.
Stone Sphere;Evoc;Earth;5;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One 5-ft.diameter stone sphere;1 round/level;Reflex negates;5-ft.-diameter stone sphere rolls over your enemies.
Stonemantle;Tran;Earth;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One tiny object per caster level.;10 min./level;Will negates (harmless, object);Object gets hardness set to 8 and 15 hit points per inch unless it already has a better hardness.
Stoneskin;Abj;;4;1 standard action;Touch;Target;Creature touched;10 min./level or until discharged;Will negates (harmless);Ignore 10 points of damage per attack.
Stony Grasp;Tran;Earth;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Animated stone arm;1 round/level;None;As earthen grasp, except the stony arm can appear from any natural surface, including unworked rock, earth, mud, grass, or sand.
Stop Heart;Necr;;5;1 standard action;Touch;Target;One living humanoid or animal;Instantaneous;Fortitude negates;Touched living humanoid drops to -8 hitpoints.
Storm Mote;Evoc;Air, Earth;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Cylinder (5-ft. radius, 10 ft. high);1 round/level;Fortitude half;Dust devil of flensing sand.
Storm Prison;Evoc;Electricity, Air;6;1 standard action;Long (400 ft. + 40 ft./level);Target;One creature or object;1 round/level;Reflex partial;Deal 1d6/level (max 15d6) electricity damage to target and encase them in a wind and lightning prison.
Stormrunner's Ward;Abj;;2;1 round;Touch;Target;One ship;1 hour/level (D);None;Add +4 (+1/4 levels) to ship's checks to weather storms.
Stormwalk;Conj;;6;1 round;Touch;Target;You and up to one other creature for every two levels;Instantaneous;None and Will negates (object);Teleport yourself and one creature/2 levels from a storm.
Stretch Weapon;Tran;;2;1 swift action;0 ft.;Target;Melee weapon wielded;1 round or until discharged;Will negates (harmless, object);Melee weapon gains 5 ft. of reach for one attack.
Stun Ray;Conj;Electricity;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1d4+1 rounds;Fortitude partial;Ray stuns target for 1d4+1 rounds.
Stunning Breath;Tran;;4;1 standard action;Personal;Target;Your breath weapon;Instantaneous;;Your breath weapon also stuns creatures for 1 round.
Stupor;Ench;Mind-Affecting;1;1 minute;Touch;Area;One helpless creature;1 hour/level;Fortitude negates;One helpless subject is put in a state that allows him to be moved but take no other actions.
Submerge Ship;Evoc;Water;7;10 minutes;Touch;Target;Ship touched;1 hour/level;None;You control ship mentally while it travels underwater.
Submersion Treatment;Evoc;;7;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;1 round/level;Reflex negates;A column of water paralyzes and potentially drowns one target.
Subvert Planar Essence;Tran;;6;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius emanation centered on a point in space;1 round/level;Fortitude negates;Reduces target's DR and SR.
Suffer The Flesh;Tran;;2;1 swift action;Personal;Target;You;1 round;;Take Constitution damage to make your spellcasting more potent.
Suggestion;Ench;Language-Dependent, Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 hour/level or until completed;Will negates;Compels subject to follow stated course of action.
Summon Aspect Of Bahamut;Conj;;7;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One aspect of Bahamut;Concentration (maximum of 1 round/level) + 1 round;None;Summons an aspect of Bahamut.
Summon Elemental Monolith;Conj;see text;9;1 round;Medium (100 ft. + 10 ft./level);Effect;One summoned elemental monolith;Concentration, up to 1 round/level (D);None;You conjure a tremendously powerful creature known as an elemental monolith.
Summon Monster I;Conj;Varies;1;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One summoned creature;1 round/level (D);None;Calls extraplanar creature to fight for you.
Summon Monster II;Conj;;2;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;Calls extraplanar creature to fight for you.
Summon Monster III;Conj;;3;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;Calls extraplanar creature to fight for you.
Summon Monster IV;Conj;;4;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;Calls extraplanar creature to fight for you.
Summon Monster IX;Conj;;9;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;Calls extraplanar creature to fight for you.
Summon Monster V;Conj;;5;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;Calls extraplanar creature to fight for you.
Summon Monster VI;Conj;;6;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;Calls extraplanar creature to fight for you.
Summon Monster VII;Conj;;7;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;Calls extraplanar creature to fight for you.
Summon Monster VIII;Conj;;8;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart;1 round/level (D);None;Calls extraplanar creature to fight for you.
Summon Swarm;Conj;;2;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One swarm of bats, rats, or spiders;Concentration + 2 rounds;None;Summons swarm of bats, rats, or spiders.
Summon Undead I;Conj;Evil;1;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One summoned creature;1 round/level;None;Summons undead to fight for you.
Summon Undead II;Conj;Evil;2;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart.;1 round/level;None;Summons undead to fight for you.
Summon Undead III;Conj;Evil;3;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart.;1 round/level;None;Summons undead to fight for you.
Summon Undead IV;Conj;Evil;4;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart.;1 round/level;None;Summons undead to fight for you.
Summon Undead V;Conj;Evil;5;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One or more summoned creatures, no two of which can be more than 30 ft. apart.;1 round/level;None;Summons undead to fight for you.
Sun Bolt;Evoc;Light;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Ray;1 round;Reflex partial;Ray deals 2d6 damage, more against undead, and might blind target.
Suppress Breath Weapon;Ench;Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 min./level;Will negates;Subject can't use its breath weapon.
Suppress Dragonmark;Abj;;2;1 minute;Close (25 ft. + 5 ft./2 levels);Target;One dragonmarked creature;1 day;Will negates;Suppress the spell-like abilities of target's dragonmark.
Suppress Flame;Tran;Cold, Negative;6;1 round;Medium (100 ft. + 10 ft./level);Area;10-ft. cube/level (S);1 hour/level;None;Reduces damage and illumination from fire.
Sure Strike;Div;;2;1 swift action;Personal;Target;You;1 round or until discharged;;Gain +1 bonus/3 levels on next attack.
Surefooted Stride;Tran;;2;1 standard action;Personal;Target;You;1 hour/level;None;Treat mountainous terrain as plains.
Suspend Disease;Abj;;1;1 standard action;Touch;Target;One creature;1 day;Fortitude negates (harmless);Keeps disease from harming creature for 24 hours.
Swim;Tran;Water;2;1 round;Medium (100 ft. + 10 ft./level);Target;One creature;10 min./level (D);None;Subject gains a swim speed equal to their land speed.
Sword of Darkness;Necr;Evil;7;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Black blade of negative energy;1 round/level (D);None;As sword of deception, except you cause a black blade of pure negative energy to appear and attack opponents at a distance, as directed by you.
Sword of Deception;Evoc;;5;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Pale green blade of force;1 round/level (D);None;A blade of pale green force to appear and strikes the opponent you designate.
Symbol Of Spell Loss;Abj;;5;10 minutes;0 ft.;Effect;One symbol;See text;Will negates;Triggered rune absorbs spells yet to be cast.
Synostodweomer;Tran;Positive;7;1 round;Personal;Target;One of your spells;1 round;None;Channel a spell into positive energy to cure 1d6/spell level.
Targeting Ray;Div;;1;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Ray;1 round/level;None;Creates a beam of light between caster and target.
Telekinetic Sphere;Evoc;Force;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;1-ft.-diameter/level sphere, centered around creatures or objects;1 min./level (D);Reflex negates (object);As resilient sphere, but you move sphere telekinetically.
Telepathic Bond;Div;;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;You plus one willing creature per three levels, no two of which can be more than 30 ft. apart;10 min./level (D);None;Link lets allies communicate.
Telepathy Block;Abj;;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;80-ft.-radius emanation centered on a creature, object, or point in space;1 round/level (D);None;Blocks all telepathic communication within 80-ft. radius.
Teleport;Conj;;5;1 standard action;Personal and touch;Target;You and touched objects or other touched willing creatures;Instantaneous;None and Will negates (object);Instantly transports you as far as 100 miles/level.
Teleport Block;Abj;;5;1 round;0 ft.;Area;One 10-ft. cube/level;1 hour/level;None;Teleportation spells fail when the destination or the origin is within the area.
Teleport Coordinates Transfer;Div;;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;None;Teach somebody else a familiar location so the location is familiar to them, or improve the quaility of a location to familiar learned by a divination spell.
Teleport Object;Conj;;7;1 standard action;Personal and touch;Target;One touched object of up to 50 lb/level and 3 cu. ft/level;Instantaneous;Will negates (object);As teleport, but affects a touched object.
Teleport Redirect;Evoc;;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;20-ft. diameter sphere;1 hour/level;None;Any teleportation subtype spell with an origin within the area directs the subjects to a destination of your choice.
